cik,name,signals,detail
910073,"FLAGSTAR BANK, NATIONAL ASSOCIATION",renamed_in_window,"was 'FLAGSTAR FINANCIAL, INC.' until 2025-10-17 | was 'NEW YORK COMMUNITY BANCORP, INC.' until 2024-10-25 | was 'NEW YORK COMMUNITY BANCORP INC' until 2024-03-08"
764038,SouthState Bank Corp,renamed_in_window,was 'SouthState Corp' until 2025-08-28 | was 'SOUTH STATE Corp' until 2021-09-03
936528,WAFD INC,renamed_in_window,was 'WASHINGTON FEDERAL INC' until 2023-09-28
1108134,Beacon Financial Corp,renamed_in_window,was 'BERKSHIRE HILLS BANCORP INC' until 2025-08-25
1518715,Mechanics Bancorp,renamed_in_window,"was 'HomeStreet, Inc.' until 2025-08-22"
